,word,type,definition,sentence
0,trend,noun,a style that is currently popular; the general course of something,Fashion trends are always changing.
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
indication (of),noun,a sign or token,High blood pressure is a clear indication of stress.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
indication (of),noun,a sign or token,High blood pressure is a clear indication of stress.
component,noun,a part or element of something (see also: aspect),"To understand the whole problem, you must look at all of its separate components."
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
indication (of),noun,a sign or token,High blood pressure is a clear indication of stress.
component,noun,a part or element of something (see also: aspect),"To understand the whole problem, you must look at all of its separate components."
reliable,adjective,able to be predicted or trusted; dependable (opposite = unreliable),Finding a reliable babysitter is difficult for most parents.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
indication (of),noun,a sign or token,High blood pressure is a clear indication of stress.
component,noun,a part or element of something (see also: aspect),"To understand the whole problem, you must look at all of its separate components."
reliable,adjective,able to be predicted or trusted; dependable (opposite = unreliable),Finding a reliable babysitter is difficult for most parents.
construct,verb,to develop or build; to make,Numerous condos are currently being constructed in the downtown core.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
indication (of),noun,a sign or token,High blood pressure is a clear indication of stress.
component,noun,a part or element of something (see also: aspect),"To understand the whole problem, you must look at all of its separate components."
reliable,adjective,able to be predicted or trusted; dependable (opposite = unreliable),Finding a reliable babysitter is difficult for most parents.
construct,verb,to develop or build; to make,Numerous condos are currently being constructed in the downtown core.
participation,noun,the act of taking part in something,Portugal was ridiculed for its participation in slavery.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
indication (of),noun,a sign or token,High blood pressure is a clear indication of stress.
component,noun,a part or element of something (see also: aspect),"To understand the whole problem, you must look at all of its separate components."
reliable,adjective,able to be predicted or trusted; dependable (opposite = unreliable),Finding a reliable babysitter is difficult for most parents.
construct,verb,to develop or build; to make,Numerous condos are currently being constructed in the downtown core.
participation,noun,the act of taking part in something,Portugal was ridiculed for its participation in slavery.
period,noun,a portion of time; a significant interval of time in history,The 1700s were a period of great scientific advance.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
indication (of),noun,a sign or token,High blood pressure is a clear indication of stress.
component,noun,a part or element of something (see also: aspect),"To understand the whole problem, you must look at all of its separate components."
reliable,adjective,able to be predicted or trusted; dependable (opposite = unreliable),Finding a reliable babysitter is difficult for most parents.
construct,verb,to develop or build; to make,Numerous condos are currently being constructed in the downtown core.
participation,noun,the act of taking part in something,Portugal was ridiculed for its participation in slavery.
period,noun,a portion of time; a significant interval of time in history,The 1700s were a period of great scientific advance.
comment (on),verb,to make a statement about something,"First, I would like to comment on the current environmental situation"
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
option,noun,a choice; one of several possibilities to be chosen,"When our options are limited, we are more likely to act decisively."
compensate (for),verb,to give an equivalent or a return for something else,"If the government expects citizens to do this, they must compensate their citizens fairly."
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
assist,verb,to help or aid someone (noun = assistance),They were assisted by an outside company when designing the program.
psychological,adjective,relating to the mind or psychology,We must pay attention to our psychological health.
indicate,verb,to show or give evidence of something,Research indicates that cell phones can cause cancer.
significant,adjective,important; of consequence (opposite = insignificant),Man landing on the moon was a significant achievement for science.
access,noun,"the ability or right to enter, reach, approach, etc. something",I don’t have access to those files.
require,verb,to have need of something; to need,"To take a masters course, one requires an undergraduate degree."
aware,adjective,having knowledge of something; being conscious or cognizant of something,I wasn’t aware of the problem. Thank you for informing me.
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
requirement,noun,"something which is obligatory, demanded, or needed",You do not meet the requirements for this position
indication (of),noun,a sign or token,High blood pressure is a clear indication of stress.
component,noun,a part or element of something (see also: aspect),"To understand the whole problem, you must look at all of its separate components."
reliable,adjective,able to be predicted or trusted; dependable (opposite = unreliable),Finding a reliable babysitter is difficult for most parents.
construct,verb,to develop or build; to make,Numerous condos are currently being constructed in the downtown core.
participation,noun,the act of taking part in something,Portugal was ridiculed for its participation in slavery.
period,noun,a portion of time; a significant interval of time in history,The 1700s were a period of great scientific advance.
comment (on),verb,to make a statement about something,"First, I would like to comment on the current environmental situation"
disposal,noun,the act of arranging or distributing; getting rid of something,A general is responsible for the effective disposal of his soldiers.
achieve,verb,to accomplish; to reach a certain standard,"As a result of her hard work, she achieved an excellent score on her final."
consequence,noun,a result or effect of something,He was executed as a consequence for his heinous actions.
convert (into),verb,to change or transform into,That building was recently converted into a restaurant.
consist (of),verb,to be made of something; to be composed of something,A healthy relationship must consist of trust and mutual respect.
respond,verb,to reply,"When faced with a bully, it is important not to respond with anger."
sector,noun,a part or subdivision,It is the government’s job to protect all sectors of society.
